version,ochiai-exam
47,0.08653846153846154
7,0.08888888888888889
88,0.1111111111111111
72,0.13333333333333333
28,0.13636363636363635
75,0.15384615384615385
15,0.2
16,0.2222222222222222
37,0.2361111111111111
1,0.24193548387096775
40,0.24242424242424243
48,0.25
9,0.2857142857142857
55,0.4
27,0.4
57,0.4
91,0.4
68,0.45
65,0.4782608695652174
31,0.5254237288135594
2,0.6
23,0.6363636363636364
79,0.6666666666666666
63,0.6666666666666666
103,0.6666666666666666
74,0.6862745098039216
17,0.7037037037037037
64,0.782608695652174
8,1.0
87,1.0
66,1.0
86,1.0
67,1.0
85,1.0
84,1.0
80,1.0
71,1.0
83,1.0
82,1.0
81,1.0
76,1.0
77,1.0
78,1.0
69,1.0
62,1.0
54,1.0
6,1.0
100,1.0
101,1.0
102,1.0
11,1.0
13,1.0
14,1.0
21,1.0
22,1.0
24,1.0
26,1.0
29,1.0
3,1.0
30,1.0
32,1.0
33,1.0
36,1.0
38,1.0
41,1.0
42,1.0
43,1.0
44,1.0
46,1.0
52,1.0
95,1.0
56,1.0
58,1.0
59,1.0
61,1.0
98,1.0
